Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR
P1;21/01/2018;Feirense;Moreirense;1;0;H;1;0;H;1;9;1;4;16;19;2;6;3;4;0;0
P1;21/01/2018;Guimaraes;Estoril;3;1;H;1;1;D;13;13;7;5;21;14;10;3;4;2;0;1
P1;21/01/2018;Rio Ave;Boavista;2;0;H;1;0;H;12;7;9;3;14;16;3;7;2;3;0;0
P1;29/01/2018;Belenenses;Benfica;1;1;D;0;0;D;5;6;2;2;15;12;7;6;3;1;0;0
P1;29/01/2018;Pacos Ferreira;Feirense;2;1;H;1;1;D;8;6;3;5;18;20;6;6;0;2;0;0
P1;29/01/2018;Portimonense;Rio Ave;4;1;H;3;0;H;10;5;7;1;25;10;1;3;3;4;0;0
P1;30/01/2018;Estoril;Tondela;3;0;H;2;0;H;10;6;4;2;18;18;1;4;0;0;0;0
P1;30/01/2018;Moreirense;Porto;0;0;D;0;0;D;1;12;0;2;20;11;2;4;4;1;1;0
P1;30/01/2018;Sp Braga;Aves;2;0;H;1;0;H;15;6;8;2;21;18;4;6;0;1;0;0
P1;31/01/2018;Boavista;Maritimo;2;1;H;1;1;D;12;6;8;2;13;21;2;3;1;2;0;0
P1;31/01/2018;Chaves;Setubal;2;2;D;1;1;D;7;8;5;5;14;22;4;8;1;2;0;0
P1;31/01/2018;Sp Lisbon;Guimaraes;1;0;H;0;0;D;12;7;5;4;7;17;9;3;0;2;0;0
P1;03/02/2018;Benfica;Rio Ave;5;1;H;0;1;A;13;2;8;1;13;12;10;3;1;2;0;0
P1;03/02/2018;Porto;Sp Braga;3;1;H;2;1;H;11;7;6;3;23;13;7;3;1;2;0;0
P1;04/02/2018;Estoril;Sp Lisbon;2;0;H;2;0;H;13;11;6;7;18;11;10;16;0;3;0;0
P1;04/02/2018;Feirense;Chaves;1;2;A;1;1;D;6;8;1;5;22;11;8;5;2;0;0;0
P1;04/02/2018;Guimaraes;Pacos Ferreira;3;2;H;2;1;H;8;5;4;1;14;16;6;4;2;2;0;0
P1;04/02/2018;Tondela;Moreirense;1;2;A;1;1;D;12;7;6;5;13;17;7;4;1;1;0;0
P1;05/02/2018;Maritimo;Portimonense;0;3;A;0;3;A;9;8;2;3;18;18;7;1;4;1;0;0
P1;05/02/2018;Setubal;Belenenses;3;0;H;1;0;H;11;4;4;2;18;12;3;7;0;3;0;0
P1;06/02/2018;Aves;Boavista;3;0;H;2;0;H;14;3;7;1;21;13;5;5;4;5;0;0
P1;09/02/2018;Pacos Ferreira;Tondela;0;2;A;0;2;A;7;6;2;3;15;16;2;7;4;2;1;1
P1;10/02/2018;Portimonense;Benfica;1;3;A;0;1;A;6;11;2;7;16;19;5;4;3;2;0;0
P1;10/02/2018;Rio Ave;Maritimo;3;0;H;2;0;H;7;4;5;2;10;18;4;2;1;6;0;1
P1;10/02/2018;Sp Braga;Setubal;3;1;H;1;0;H;10;3;6;3;19;16;7;2;2;4;0;0
P1;11/02/2018;Belenenses;Aves;2;5;A;1;4;A;9;6;3;4;7;16;4;5;0;3;0;0
P1;11/02/2018;Boavista;Guimaraes;1;0;H;0;0;D;11;5;4;2;14;19;4;4;2;3;0;0
P1;11/02/2018;Chaves;Porto;0;4;A;0;2;A;5;12;2;6;7;20;1;3;2;4;0;0
P1;11/02/2018;Sp Lisbon;Feirense;2;0;H;0;0;D;17;5;10;1;11;22;15;5;4;7;0;0
P1;12/02/2018;Moreirense;Estoril;1;2;A;1;0;H;7;7;2;4;20;4;1;3;3;2;0;0
P1;16/02/2018;Feirense;Portimonense;1;3;A;1;1;D;10;10;4;7;19;22;6;3;4;3;0;0
P1;17/02/2018;Aves;Maritimo;0;0;D;0;0;D;7;4;3;1;13;20;6;5;2;4;0;0
P1;17/02/2018;Benfica;Boavista;4;0;H;2;0;H;15;4;11;1;11;10;9;6;2;0;0;0
P1;17/02/2018;Estoril;Belenenses;0;2;A;0;1;A;10;8;3;4;11;12;6;4;1;0;1;0
P1;18/02/2018;Guimaraes;Sp Braga;0;5;A;0;3;A;5;13;0;7;7;13;8;6;1;0;1;0
P1;18/02/2018;Moreirense;Chaves;0;1;A;0;0;D;6;2;1;2;19;14;8;0;3;3;1;0
P1;18/02/2018;Porto;Rio Ave;5;0;H;3;0;H;12;5;7;4;25;12;9;4;2;2;0;0
P1;18/02/2018;Setubal;Pacos Ferreira;1;0;H;0;0;D;8;11;2;2;20;25;2;3;2;3;0;0
P1;19/02/2018;Tondela;Sp Lisbon;1;2;A;1;1;D;7;16;3;6;23;12;5;9;5;3;1;1
P1;21/02/2018;Estoril;Porto;1;3;A;1;0;H;11;24;3;13;27;19;3;7;3;3;0;0
P1;23/02/2018;Rio Ave;Aves;0;0;D;0;0;D;13;8;6;4;9;17;8;2;1;4;1;0
P1;24/02/2018;Belenenses;Feirense;1;0;H;0;0;D;7;3;4;1;23;13;9;2;1;1;0;0
P1;24/02/2018;Maritimo;Guimaraes;3;2;H;3;1;H;7;4;4;2;20;13;6;1;1;3;0;0
P1;24/02/2018;Pacos Ferreira;Benfica;1;3;A;1;0;H;7;11;3;7;16;14;2;12;2;2;1;0
P1;25/02/2018;Boavista;Setubal;4;0;H;2;0;H;9;8;5;2;24;16;5;5;2;3;0;0
P1;25/02/2018;Chaves;Estoril;2;0;H;1;0;H;6;12;4;3;12;13;7;10;2;3;0;0
P1;25/02/2018;Portimonense;Porto;1;5;A;0;3;A;9;7;5;6;23;19;1;4;1;0;0;0
P1;26/02/2018;Sp Braga;Tondela;1;0;H;0;0;D;16;6;11;2;12;12;9;4;3;2;0;0
P1;26/02/2018;Sp Lisbon;Moreirense;1;0;H;0;0;D;13;8;7;3;15;17;4;5;5;4;2;0
P1;02/03/2018;Porto;Sp Lisbon;2;1;H;1;1;D;8;11;3;5;23;10;7;9;2;2;0;0
P1;03/03/2018;Benfica;Maritimo;5;0;H;4;0;H;14;4;7;1;10;17;6;2;1;3;0;1
P1;03/03/2018;Estoril;Sp Braga;0;6;A;0;3;A;13;10;3;6;14;19;5;4;3;1;0;0
P1;03/03/2018;Feirense;Boavista;3;0;H;1;0;H;14;6;8;5;21;20;7;8;1;2;0;0
P1;04/03/2018;Guimaraes;Belenenses;0;0;D;0;0;D;10;6;6;3;17;21;4;5;3;2;0;0
P1;04/03/2018;Moreirense;Pacos Ferreira;2;0;H;1;0;H;10;7;7;6;15;21;12;7;4;3;0;0
P1;04/03/2018;Setubal;Rio Ave;1;0;H;0;0;D;7;6;4;2;21;20;5;5;3;2;1;0
P1;04/03/2018;Tondela;Chaves;2;0;H;1;0;H;9;12;7;5;23;14;4;8;4;3;0;0
P1;05/03/2018;Aves;Portimonense;3;0;H;1;0;H;11;9;6;2;19;13;3;4;2;3;0;0
P1;09/03/2018;Sp Braga;Moreirense;3;0;H;1;0;H;12;9;4;0;13;10;4;15;1;2;0;0
P1;10/03/2018;Benfica;Aves;2;0;H;0;0;D;12;6;7;1;14;16;14;1;2;4;0;0
P1;10/03/2018;Boavista;Estoril;1;0;H;0;0;D;5;7;2;3;19;19;4;3;3;3;0;0
P1;10/03/2018;Rio Ave;Feirense;2;1;H;0;1;A;10;7;6;6;17;22;6;3;3;5;0;0
P1;11/03/2018;Belenenses;Tondela;0;0;D;0;0;D;8;8;1;2;16;18;4;7;1;1;0;0
P1;11/03/2018;Maritimo;Setubal;4;2;H;3;0;H;10;6;8;5;14;17;3;3;3;3;0;0
P1;11/03/2018;Pacos Ferreira;Porto;1;0;H;1;0;H;9;9;4;3;15;21;3;15;4;2;0;0
P1;11/03/2018;Portimonense;Guimaraes;2;1;H;1;1;D;16;4;6;4;16;17;6;5;3;1;0;1
